,COL17A1,NTSR1,DHRS9,MSLN,GPRC5A,LAMC2,S100A2,GJB2,HMGA2,AREG,AHNAK2,KLHL32,CLIC3,WNT10A,IL20RB,CDA,MUC4,POSTN,SEMA7A,SLC2A1,FN1,INHBA,ori_class
c24c54ea-4095-460d-bb53-e3629a56cd62,19.83567253106379,13.227097017542038,15.814444983620579,21.07363049737248,21.159981612078266,20.34573705173372,18.57820498881579,18.470023246094026,10.510851549784805,17.767850373730898,16.786918797006507,12.97829350255493,17.33421816540783,13.950717932571893,14.391803560178465,18.996057830926958,14.931664508050485,18.75654727564986,17.909117729778593,20.325880721579985,18.96943410889389,15.480954208604166,L
6a0a280d-4a30-4071-afe7-de6b82a6e34c,21.331174810640515,16.061395988286733,18.093988223936506,21.491062611717705,21.00742278592251,21.153404882436345,22.754972083305745,18.908623538758967,16.77811741456052,19.250838497544866,17.595727164424336,12.129015462220627,19.470440555378644,17.038030722066072,19.873864879708645,19.648915860185152,17.141055595320253,20.246888270930565,16.732463288361032,21.868278953298415,21.471406955553213,17.80272705011958,L
f73dfd7f-e054-46ff-9485-e8d05afe2da6,21.318155734973264,17.18449722638882,18.744827482383943,19.047308834291726,20.55182980204506,20.604323291558647,17.523259264227267,20.463684988029392,14.935783229283725,17.711075751737596,18.32147227506986,10.71218261205403,16.64120646987847,16.153306198653514,13.346128894049397,20.130542200578216,16.463574387720406,22.304428914013346,18.2987287767075,20.401855197789605,23.086712636497,20.26782682323371,HA
e3a19e63-bae5-498b-9687-41194aa5728d,19.470307126135115,8.257003094049798,19.267231580578937,22.4270718472551,21.55548433512127,20.830762712681302,18.090784734879303,20.277011670687937,10.886759856161456,19.105159288935024,16.896698942541587,9.880964390768108,18.884651257519405,18.662185717017785,18.4860252234571,18.65653336494233,15.222488593201726,20.62691343822536,18.241121746374073,18.914318098757857,21.939683629927462,18.77518809033665,HA
09fd6d9e-c715-4d57-88f9-238dd74c79a7,17.475916576185327,12.71924242367656,13.757891433019312,21.080348428233215,20.22446569044206,21.855168285868277,18.741063308914466,20.28405815294292,11.540672424659746,17.775267450121824,17.951099023338188,12.26843595199248,18.83679381654501,16.560920973858337,13.826668624644721,18.09305449996989,15.929788291703728,21.64503314209581,18.74428599735933,19.89805112898177,23.357119348851104,19.25093053857107,D
c26002e7-abf1-42b9-bf36-0e97249d872f,20.83307923292859,16.961594392802656,21.569891965561936,21.636339307501434,21.916187929553022,21.043820205228897,20.93196696701706,20.64816528826205,15.25508319272972,20.215536912711283,16.923884842556895,10.175779057601355,19.684518101707024,17.54532189666322,17.175228720653706,20.698954587599225,17.619130745092573,19.656116736231926,18.266828137698543,21.23765672836247,22.87091879490097,19.20339801270418,HA
5c51fbfe-153c-4cd2-97bd-e444daa0b20f,18.77219284791086,19.58060999326221,8.329449682221005,24.377862495661024,19.789819441000134,19.878983238262382,17.495225693628317,19.132091851839984,13.032667801304756,14.685549036751649,8.59086917378995,9.77725844584334,20.826979790333436,15.61546975067756,14.544787882218136,14.37819541589446,12.787650726058631,12.740579104587288,14.772843369156032,17.946858061598817,15.705472562910197,13.078194780039018,L
2faea98a-edf7-4e92-bfb7-f91a36259872,21.38013552971809,16.459993964965523,21.438624277120073,20.622466235000378,21.300102688210167,21.47385156824651,20.28399248633737,19.971315299108092,13.768654684257546,19.61656125066429,18.213388806581005,10.587600773119378,18.090017742947783,16.104201442640292,17.034466678647355,19.954579402942862,18.056867159359996,21.15784895193838,19.71643067952605,21.82819495653576,22.230671589828386,18.979090650675193,HA
3cbf56e6-dccc-40fe-b06e-2621a2121e9d,22.411444121407108,15.050390014348196,17.29853799299244,22.52424099763549,20.66853057052027,21.99140360029267,17.425127452971672,19.426865084747675,17.39546502211578,20.80744282977954,18.48232650434295,9.478891217514729,19.57124036242807,17.47243998756998,19.89766066596696,20.614286386186258,14.600314810121008,22.114637218230815,19.442896087405174,21.433723322309486,23.100237865092716,18.32659954693008,D
4b37b026-1d41-4bad-8996-7cb1f0e569af,15.880049146131368,14.182801927937668,13.221450937280233,18.41880344173242,17.449585723972973,20.282451565045157,17.717594123979794,18.710130222258876,16.33335552520953,16.329823138764528,16.71168911934394,13.208625335185902,14.31546021319937,15.003886543390182,13.778135945569321,17.481392145272668,15.358300848863555,20.40037182850683,17.151919304271843,19.033767314644845,21.86310004931163,18.307642844122128,COL
